Depth ice/snow [m],Age model [ka]
479.05,17.993
479.6,18.037
480.15,18.082
480.7,18.128
481.25,18.174
481.8,18.219
482.35,18.266
482.9,18.312
483.45,18.361
484.0,18.405
484.55,18.449
485.1,18.493
485.65,18.54
486.2,18.586
486.75,18.632
487.3,18.678
487.85,18.723
488.4,18.769
488.95,18.815
489.5,18.862
490.05,18.908
490.6,18.953
491.15,19.001
491.7,19.049
492.25,19.093
492.8,19.139
493.35,19.185
493.9,19.226
494.45,19.272
495.0,19.317
495.55,19.365
496.1,19.411
496.65,19.458
497.2,19.506
497.75,19.555
498.3,19.603
498.85,19.652
499.4,19.7
499.95,19.746
500.5,19.79
501.05,19.834
501.6,19.881
502.15,19.931
502.7,19.979
503.25,20.026
503.8,20.072
504.35,20.118
504.9,20.163
505.45,20.21
506.0,20.257
506.55,20.304
507.1,20.352
507.65,20.401
508.2,20.45
508.75,20.496
509.3,20.541
509.85,20.587
510.4,20.635
510.95,20.683
511.5,20.731
512.05,20.776
512.6,20.823
513.15,20.87
513.7,20.918
514.25,20.965
514.8,21.015
515.35,21.062
515.9,21.109
516.45,21.155
517.0,21.201
517.55,21.25
518.1,21.3
518.65,21.346
519.2,21.39
519.75,21.435
520.3,21.482
520.85,21.531
521.4,21.578
521.95,21.626
522.5,21.676
523.05,21.724
523.6,21.77
524.15,21.815
524.7,21.859
525.25,21.907
525.8,21.953
526.35,22.002
526.9,22.05
527.45,22.099
528.0,22.15
528.55,22.199
529.1,22.244
529.65,22.295
530.2,22.345
530.75,22.389
531.3,22.436
531.85,22.483
532.4,22.529
532.95,22.577
533.5,22.626
534.05,22.674
534.6,22.723
535.15,22.772
535.7,22.821
536.25,22.869
536.8,22.918
537.35,22.967
537.9,23.014
538.45,23.059
539.0,23.104
539.55,23.149
540.1,23.195
540.65,23.242
541.2,23.289
541.75,23.34
542.3,23.388
542.85,23.435
543.4,23.483
543.95,23.529
544.5,23.575
545.05,23.622
545.6,23.668
546.15,23.715
546.7,23.763
547.25,23.812
547.8,23.864
548.35,23.916
548.9,23.965
549.45,24.015
550.0,24.069
550.55,24.119
551.1,24.168
551.65,24.216
552.2,24.263
552.75,24.314
553.3,24.363
553.85,24.415
554.4,24.467
554.95,24.511
555.5,24.558
556.05,24.609
556.6,24.662
557.15,24.714
557.7,24.766
558.25,24.818
558.8,24.868
559.35,24.919
559.9,24.969
560.45,25.02
561.0,25.072
561.55,25.123
562.1,25.173
562.65,25.223
563.2,25.276
563.75,25.33
564.3,25.384
564.85,25.435
565.4,25.487
565.95,25.538
566.5,25.589
567.05,25.64
567.6,25.69
568.15,25.743
568.7,25.795
569.25,25.847
569.8,25.9
570.35,25.95
570.9,26.0
571.45,26.053
572.0,26.103
572.55,26.154
573.1,26.207
573.65,26.257
574.2,26.311
574.75,26.364
575.3,26.413
575.85,26.465
576.4,26.516
576.95,26.567
577.5,26.62
578.05,26.674
578.6,26.727
579.15,26.777
579.7,26.828
580.25,26.88
580.8,26.933
581.35,26.985
581.9,27.037
582.45,27.09
583.0,27.142
583.55,27.192
584.1,27.24
584.65,27.287
585.2,27.333
585.75,27.377
586.3,27.425
586.85,27.475
587.4,27.523
587.95,27.578
588.5,27.628
589.05,27.673
589.6,27.717
590.15,27.765
590.7,27.814
591.25,27.864
591.8,27.912
592.35,27.961
592.9,28.014
593.45,28.068
594.0,28.119
594.55,28.17
595.1,28.224
595.65,28.275
596.2,28.324
596.75,28.373
597.3,28.419
597.85,28.465
598.4,28.512
598.95,28.56
599.5,28.608
600.05,28.658
600.6,28.709
601.15,28.759
601.7,28.809
602.25,28.859
602.8,28.908
603.35,28.956
603.9,29.004
604.45,29.052
605.0,29.099
605.55,29.145
606.1,29.192
606.65,29.236
607.2,29.283
607.75,29.328
608.3,29.375
608.85,29.425
609.4,29.474
609.95,29.523
610.5,29.57
611.05,29.618
611.6,29.665
612.15,29.711
612.7,29.758
613.25,29.808
613.8,29.862
614.35,29.915
614.9,29.967
615.45,30.02
616.0,30.071
616.55,30.124
617.1,30.177
617.65,30.227
618.2,30.277
618.75,30.33
619.3,30.38
619.85,30.431
620.4,30.483
620.95,30.534
621.5,30.586
622.05,30.637
622.6,30.687
623.15,30.738
623.7,30.788
624.25,30.837
624.8,30.884
625.35,30.933
625.9,30.983
626.45,31.032
627.0,31.085
627.55,31.141
628.1,31.194
628.65,31.247
629.2,31.303
629.75,31.356
630.3,31.408
630.85,31.459
631.4,31.511
631.95,31.564
632.5,31.618
633.05,31.673
633.6,31.725
634.15,31.773
634.7,31.821
635.25,31.871
635.8,31.919
636.35,31.965
636.9,32.012
637.45,32.055
638.0,32.104
638.55,32.154
639.1,32.203
639.65,32.253
640.2,32.302
640.75,32.35
641.3,32.399
641.85,32.448
642.4,32.496
642.95,32.545
643.5,32.598
644.05,32.652
644.6,32.707
645.15,32.761
645.7,32.816
646.25,32.869
646.8,32.921
647.35,32.973
647.9,33.024
648.45,33.073
649.0,33.121
649.55,33.168
650.1,33.215
650.65,33.262
651.2,33.309
651.75,33.355
652.3,33.404
652.85,33.453
653.4,33.502
653.95,33.551
654.5,33.599
655.05,33.648
655.6,33.699
656.15,33.75
656.7,33.801
657.25,33.856
657.8,33.911
658.35,33.966
658.9,34.021
659.45,34.077
660.0,34.13
660.55,34.181
661.1,34.234
661.65,34.287
662.2,34.342
662.75,34.395
663.3,34.445
663.85,34.494
664.4,34.545
664.95,34.591
665.5,34.64
666.05,34.688
666.6,34.736
667.15,34.785
667.7,34.832
668.25,34.879
668.8,34.928
669.35,34.977
669.9,35.024
670.45,35.069
671.0,35.117
671.55,35.167
672.1,35.214
672.65,35.26
673.2,35.307
673.75,35.356
674.3,35.406
674.85,35.454
675.4,35.501
675.95,35.551
676.5,35.602
677.05,35.65
677.6,35.698
678.15,35.746
678.7,35.798
679.25,35.848
679.8,35.903
680.35,35.952
680.9,36.001
681.45,36.051
682.0,36.101
682.55,36.154
683.1,36.206
683.65,36.258
684.2,36.308
684.75,36.357
685.3,36.406
685.85,36.456
686.4,36.506
686.95,36.555
687.5,36.604
688.05,36.655
688.6,36.705
689.15,36.755
689.7,36.807
690.25,36.859
690.8,36.911
691.35,36.961
691.9,37.007
692.45,37.051
693.0,37.1
693.55,37.149
694.1,37.198
694.65,37.244
695.2,37.29
695.75,37.337
696.3,37.384
696.85,37.431
697.4,37.48
697.95,37.525
698.5,37.571
699.05,37.613
699.6,37.656
700.15,37.697
700.7,37.737
701.25,37.779
701.8,37.819
702.35,37.858
702.9,37.899
703.45,37.945
704.0,37.992
704.55,38.039
705.1,38.082
705.65,38.124
706.2,38.169
706.75,38.215
707.3,38.263
707.85,38.306
708.4,38.351
708.95,38.395
709.5,38.439
710.05,38.484
710.6,38.529
711.15,38.572
711.7,38.616
712.25,38.66
712.8,38.704
713.35,38.751
713.9,38.798
714.45,38.842
715.0,38.886
715.55,38.931
716.1,38.976
716.65,39.023
717.2,39.069
717.75,39.111
718.3,39.161
718.85,39.211
719.4,39.261
719.95,39.312
720.5,39.362
721.05,39.413
721.6,39.463
722.15,39.515
722.7,39.569
723.25,39.625
723.8,39.68
724.35,39.732
724.9,39.787
725.45,39.838
726.0,39.89
726.55,39.94
727.1,39.99
727.65,40.039
728.2,40.089
728.75,40.138
729.3,40.188
729.85,40.241
730.4,40.293
730.95,40.345
731.5,40.394
732.05,40.441
732.6,40.49
733.15,40.543
733.7,40.597
734.25,40.651
734.8,40.705
735.35,40.759
735.9,40.812
736.45,40.865
737.0,40.92
737.55,40.972
738.1,41.023
738.65,41.073
739.2,41.123
739.75,41.174
740.3,41.223
740.85,41.269
741.4,41.317
741.95,41.366
742.5,41.416
743.05,41.469
743.6,41.516
744.15,41.569
744.7,41.62
745.25,41.674
745.8,41.725
746.35,41.777
746.9,41.832
747.45,41.885
748.0,41.94
748.55,41.995
749.1,42.05
749.65,42.106
750.2,42.161
750.75,42.215
751.3,42.268
751.85,42.319
752.4,42.371
752.95,42.423
753.5,42.473
754.05,42.522
754.6,42.573
755.15,42.625
755.7,42.674
756.25,42.726
756.8,42.777
757.35,42.827
757.9,42.876
758.45,42.922
759.0,42.969
759.55,43.017
760.1,43.064
760.65,43.11
761.2,43.157
761.75,43.205
762.3,43.252
762.85,43.303
763.4,43.354
763.95,43.4
764.5,43.447
765.05,43.495
765.6,43.546
766.15,43.597
766.7,43.647
767.25,43.696
767.8,43.746
768.35,43.796
768.9,43.849
769.45,43.902
770.0,43.954
770.55,44.005
771.1,44.058
771.65,44.112
772.2,44.166
772.75,44.221
773.3,44.276
773.85,44.33
774.4,44.382
774.95,44.431
775.5,44.482
776.05,44.535
776.6,44.588
777.15,44.641
777.7,44.692
778.25,44.743
778.8,44.794
779.35,44.845
779.9,44.896
780.45,44.946
781.0,44.996
781.55,45.046
782.1,45.095
782.65,45.143
783.2,45.189
783.75,45.237
784.3,45.284
784.85,45.331
785.4,45.377
785.95,45.424
786.5,45.47
787.05,45.517
787.6,45.562
788.15,45.606
788.7,45.652
789.25,45.697
789.8,45.742
790.35,45.785
790.9,45.827
791.45,45.87
792.0,45.912
792.55,45.951
793.1,45.992
793.65,46.036
794.2,46.08
794.75,46.124
795.3,46.165
795.85,46.21
796.4,46.254
796.95,46.298
797.5,46.341
798.05,46.384
798.6,46.427
799.15,46.466
799.7,46.504
800.25,46.542
800.8,46.583
801.35,46.624
801.9,46.666
802.45,46.707
803.0,46.748
803.55,46.794
804.1,46.84
804.65,46.885
805.2,46.93
805.75,46.975
806.3,47.02
806.85,47.065
807.4,47.111
807.95,47.158
808.5,47.203
809.05,47.246
809.6,47.289
810.15,47.334
810.7,47.38
811.25,47.428
811.8,47.474
812.35,47.522
812.9,47.569
813.45,47.616
814.0,47.664
814.55,47.71
815.1,47.755
815.65,47.803
816.2,47.852
816.75,47.9
817.3,47.95
817.85,48.005
818.4,48.058
818.95,48.111
819.5,48.165
820.05,48.217
820.6,48.268
821.15,48.318
821.7,48.367
822.25,48.414
822.8,48.461
823.35,48.51
823.9,48.558
824.45,48.613
825.0,48.664
825.55,48.712
826.1,48.766
826.65,48.819
827.2,48.867
827.75,48.915
828.3,48.962
828.85,49.012
829.4,49.063
829.95,49.115
830.5,49.167
831.05,49.218
831.6,49.269
832.15,49.322
832.7,49.375
833.25,49.426
833.8,49.477
834.35,49.526
834.9,49.575
835.45,49.624
836.0,49.673
